identity,perc_skipped,Hcountry_code,apporder,apsa_order,favorder,hopkins_order,ideoorder,more,partyorder,points,polarization_order,posneg,rand_fact10,rand_fact12,rand_fact13,rand_fact14,rand_fact19,rand_fact4,rand_fact5,rand_fact6,rand_fact7,rand_fact8,rand_fact9,reverse,tate_order,type,invalidrank,r1,r2,r3,r4,r5,r6,follow_up,immigrant,birthyr,age,age4,respondent_status,consent,gender3,gender3_other,race,race4,hispanic,educ,educ4,pid3,pid3_t,pid7,pid7others,TernovskyScreener2_1,TernovskyScreener2_2,TernovskyScreener2_3,TernovskyScreener2_4,TernovskyScreener2_5,rand_1_ranking,no_context_3,no_context_3_1,no_context_3_2,no_context_3_3,no_context_4,no_context_4_1,no_context_4_2,no_context_4_3,no_context_4_4,tate_order_q,anc_tate_1993,anc_tate_1993_1,anc_tate_1993_2,anc_tate_1993_3,app_tate_1993,app_tate_1993_1,app_tate_1993_2,app_tate_1993_3,berinskyscreener_1,berinskyscreener_2,berinskyscreener_3,berinskyscreener_4,berinskyscreener_5,berinskyscreener_6,berinskyscreener_7,berinskyscreener_8,berinskyscreener_9,berinskyscreener_10,berinskyscreener_11,berinskyscreener_12,berinskyscreener_13,berinskyscreener_14,berinskyscreener_15,berinskyscreener_16,berinskyscreener_17,berinskyscreener_18,hopkins_order_q,identityhopkins,identityhopkins_1,identityhopkins_2,identityhopkins_3,identityhopkins_4,app_identity,app_identity_1,app_identity_2,app_identity_3,app_identity_4,rand_2_ranking,alpha,alpha_1,alpha_2,alpha_3,alpha_4,exact,exact_1,exact_2,exact_3,exact_4,hobbies_1,hobbies_2,hobbies_3,hobbies_4,hobbies_5,hobbies_6,hobbies_7,hobbies_8,hobbies_t,socialize,polarization_order_q,holidays,holidays_1,holidays_2,holidays_3,holidays_4,holidays_5,appaffectivepolar,appaffectivepolar_1,appaffectivepolar_2,appaffectivepolar_3,appaffectivepolar_4,appaffectivepolar_5,apsa_order_q,esystems,esystems_1,esystems_2,esystems_3,esystems_4,esystems_5,esystems_6,esystems_app,esystems_app_1,esystems_app_2,esystems_app_3,esystems_app_4,esystems_app_5,esystems_app_6,rand_3_ranking,esalphabet,esalphabet_1,esalphabet_2,esalphabet_3,esalphabet_4,esalphabet_5,esalphabet_6,estemporal,estemporal_1,estemporal_2,estemporal_3,estemporal_4,estemporal_5,estemporal_6,inputstate,region,area,rand_4_ranking,rand_5_ranking,app_tate_1993_repeat,app_tate_1993_repeat_1,app_tate_1993_repeat_2,app_tate_1993_repeat_3,app_identity_repeat,app_identity_repeat_1,app_identity_repeat_2,app_identity_repeat_3,app_identity_repeat_4,appaffectivepolar_repeat,appaffectivepolar_repeat_1,appaffectivepolar_repeat_2,appaffectivepolar_repeat_3,appaffectivepolar_repeat_4,appaffectivepolar_repeat_5,esystems_app_repeat,esystems_app_repeat_1,esystems_app_repeat_2,esystems_app_repeat_3,esystems_app_repeat_4,esystems_app_repeat_5,esystems_app_repeat_6,police,reform,gun,abortion,environment,faminc_new,religpew,religpew_t,newsint,ideo7,votereg,votereg2,turnout20post,presvote20post,presvote20post_t,turnout22post,housevote22post,housevote22post_t,freeform
1,56,NA,1,0,1,1,1,1,0,1000,0,0,321765,16551706,2466201478,65503597481,4.08406E+16,0,92,547,4353,18023,101509,0,1,monkey,-9,-9,-9,-9,-9,-9,-9,-9,3,1955,-9,9,99,9,9,__NA__,99,9,8,1,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,2,9,8,8,__NA__,8,8,__NA__,__NA__
3,56,NA,1,0,1,0,0,1,1,1000,0,0,2312726,277403271,4473867967,36389987844,1.08665E+17,15,44,155,3015,28727,13059,1,1,monkey,-9,-9,-9,-9,-9,-9,-9,-9,3,1950,-9,9,99,9,9,__NA__,99,9,8,6,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,36,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,1,9,8,8,__NA__,8,8,__NA__,__NA__
8,56,NA,0,1,0,0,0,1,0,1000,0,0,996695,243721815,5704553847,33069089146,1.10058E+17,18,100,59,2733,40059,247749,1,0,monkey,-9,-9,-9,-9,-9,-9,-9,-9,3,1977,-9,9,99,9,9,__NA__,99,9,8,2,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,2,9,8,8,__NA__,8,8,__NA__,__NA__
2,67,NA,1,1,0,0,0,1,1,1000,0,1,801213,104605864,5842155838,20334906361,5.85279E+16,12,53,190,48,26374,39498,0,0,monkey,-9,-9,-9,-9,-9,-9,-9,-9,3,1955,-9,9,99,9,9,__NA__,99,9,8,3,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,998,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,1,9,8,8,__NA__,8,8,__NA__,__NA__
7,61,NA,0,0,1,0,1,1,1,1000,0,0,2643344,287202114,4483476215,34675545290,5.11832E+15,1,41,628,236,31854,309719,0,1,monkey,-9,-9,-9,-9,-9,-9,-9,-9,5,1944,-9,9,99,9,9,__NA__,99,9,8,2,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,8,9,8,8,__NA__,8,8,__NA__,__NA__
0,56,NA,1,1,1,1,1,0,0,1000,1,1,585323,81249408,473443416,64977294452,2.34351E+16,4,3,89,1521,33518,91229,1,0,monkey,-9,-9,-9,-9,-9,-9,-9,-9,3,1972,-9,9,99,9,9,__NA__,99,9,8,1,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,2,9,8,8,__NA__,8,8,__NA__,__NA__
12,56,NA,0,0,0,1,0,1,1,1000,1,1,1833990,126838705,3888568394,51888499017,3.31409E+15,10,49,294,4658,37292,177433,1,1,monkey,-9,-9,-9,-9,-9,-9,-9,-9,2,1937,-9,9,99,9,9,__NA__,99,9,8,3,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,51,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,1,9,8,8,__NA__,8,8,__NA__,__NA__
13,50,NA,0,0,0,0,0,1,1,1000,1,1,111061,50215970,5392590236,20459755988,1.05837E+17,15,84,681,3750,36019,212452,0,1,monkey,-9,-9,-9,-9,-9,-9,-9,-9,1,1950,-9,9,99,9,9,__NA__,99,9,8,4,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,2,99,1,9,8,8,__NA__,8,8,__NA__,__NA__
16,67,NA,0,0,0,1,0,0,0,1000,1,0,2795017,163665630,4404109549,78209463337,2.27506E+15,14,103,334,3584,36411,33651,1,0,monkey,-9,-9,-9,-9,-9,-9,-9,-9,1,1985,-9,9,99,9,9,__NA__,99,9,8,3,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,998,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,1,9,8,8,__NA__,8,8,__NA__,__NA__
9,56,NA,0,0,0,0,1,1,0,1000,0,0,1944014,457821336,6187679775,74198061321,5.35258E+16,19,28,698,745,31837,204724,0,0,monkey,-9,-9,-9,-9,-9,-9,-9,-9,1,1944,-9,9,99,9,9,__NA__,99,9,8,1,9,9,__NA__,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,__NA__,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,99,__NA__,8,99,1,9,8,8,__NA__,8,8,__NA__,__NA__
